CarId, Blue1, Yellow1, Green1, Red1, Blue2, Yellow2, Green2, Red2
1 ,  -0.005428999999999906 ,  -0.0029689999999997774 ,  0.031042999999999932 ,  -0.022644999999999804 ,   ,   ,   ,  
2 ,  -0.0015000000000000568 ,  -0.022868000000000333 ,  0.030695999999999835 ,  -0.006328000000000333 ,   ,   ,   ,  
3 ,  0.007966999999999835 ,  0.008251000000000008 ,  0.00532699999999986 ,  -0.021545000000000147 ,   ,   ,   ,  
4 ,  0.017229000000000383 ,  -0.0037429999999996078 ,  -0.007998999999999423 ,  -0.0054869999999995756 ,   ,   ,   ,  
5 ,  0.00595699999999999 ,  0.014085000000000125 ,  -0.004627000000000159 ,  -0.015414999999999957 ,   ,   ,   ,  
6 ,  0.0009959999999997748 ,  0.007271999999999501 ,  -0.000544000000000544 ,  -0.007724000000000508 ,   ,   ,   ,  
7 ,  -0.08943100000000026 ,  0.07147299999999968 ,  -0.11435900000000032 ,  0.13231699999999957 ,   ,   ,   ,  
8 ,  -0.011287999999999965 ,  0.0019160000000000288 ,  -0.017900000000000027 ,  0.027271999999999963 ,   ,   ,   ,  
9 ,  -0.007753999999999817 ,  0.0027620000000001532 ,  0.02405000000000035 ,  -0.019057999999999797 ,   ,   ,   ,  
10 ,  0.01337599999999961 ,  -0.017432000000000336 ,  0.020847999999999534 ,  -0.016792000000000584 ,   ,   ,   ,  
11 ,  0.01649900000000004 ,  0.002054999999999918 ,  -0.006984999999999797 ,  -0.011569000000000162 ,   ,   ,   ,  
12 ,  0.04498399999999991 ,  -0.016439999999999788 ,  -0.0025479999999999947 ,  -0.02599600000000013 ,   ,   ,   ,  
13 ,  0.00680600000000009 ,  0.013897999999999744 ,  -0.00821800000000028 ,  -0.012485999999999997 ,   ,   ,   ,  
14 ,  0.0066350000000001685 ,  -0.01808500000000013 ,  0.01021099999999997 ,  0.0012389999999999901 ,   ,   ,   ,  
